Filename,Deepfake,Genuine
G3002_1_S0003.wav,0.0725,0.36888888
G3002_1_S0008.wav,0.1325,0.16428572
G3002_1_S0009.wav,0.10833333,0.175
G3002_1_S0010.wav,0.1525,0.29166666
G3002_1_S0011.wav,0.13666667,0.21555555
G3002_1_S0012.wav,0.14,0.255
G3002_1_S0014.wav,0.15333332,0.4125
G3002_1_S0015.wav,0.09666667,0.19375
G3002_1_S0034.wav,0.101428576,0.1925
G3002_1_S0035.wav,0.111666664,0.26090908
G3002_1_S0037.wav,0.1325,0.26874998
G3002_1_S0038.wav,0.13399999,0.24599999
G3002_1_S0040.wav,0.07875,0.22142856
G3002_1_S0044.wav,0.19999999,0.21
G3002_1_S0046.wav,0.12399999,0.22666666
G3002_1_S0048.wav,0.13374999,0.192
G3002_1_S0049.wav,0.09428571,0.2075
G3002_1_S0055.wav,0.1525,0.256
G3002_1_S0060.wav,0.12399999,0.32999998
G3002_1_S0061.wav,0.13,0.27625
G3002_1_S0063.wav,0.11,0.1909091
G3002_1_S0067.wav,0.12571429,0.29
G3002_1_S0070.wav,0.09333333,0.33166668
G3002_1_S0072.wav,0.1525,0.498
G3002_1_S0077.wav,0.09833333,0.47
G3002_1_S0078.wav,0.14,0.32714286
G3002_1_S0079.wav,0.122499995,0.26583335
G3002_1_S0081.wav,0.102,0.2111111
G3002_1_S0083.wav,0.09199999,0.24
G3002_1_S0084.wav,0.10666667,0.22333333
G3002_1_S0085.wav,0.12,0.3422222
G3002_1_S0087.wav,0.08625,0.17181818
G3002_1_S0092.wav,0.106,0.21875
G3002_1_S0094.wav,0.08399999,0.31
G3002_1_S0096.wav,0.11666667,0.19399999
G3002_1_S0099.wav,0.14,0.444
G3002_1_S0103.wav,0.125,0.25
G3002_1_S0106.wav,0.1525,0.2942857
G3002_1_S0107.wav,0.08166667,0.21333334
G3002_1_S0108.wav,0.085,0.32099998
G3002_1_S0109.wav,0.125,0.28833333
G3002_1_S0111.wav,0.11,0.25230768
G3002_1_S0112.wav,0.12399999,0.26999998
G3002_1_S0113.wav,0.099999994,0.3257143
G3002_1_S0114.wav,0.089999996,0.2875
G3002_1_S0115.wav,0.106,0.218
G3002_1_S0118.wav,0.155,0.27166665
G3002_1_S0122.wav,0.09666667,0.23833333
G3002_1_S0123.wav,0.08399999,0.40166667
G3002_1_S0125.wav,0.10166667,0.25125
G3002_1_S0126.wav,0.14666666,0.25571427
G3002_1_S0129.wav,0.105,0.29999998
G3002_1_S0131.wav,0.17999999,0.414
G3002_1_S0132.wav,0.096,0.25285715
G3002_1_S0134.wav,0.11666667,0.2511111
G3002_1_S0135.wav,0.13,0.3042857
G3002_1_S0136.wav,0.099999994,0.29666665
G3002_1_S0139.wav,0.085,0.32333332
G3002_1_S0140.wav,0.13333333,0.32714286
G3002_1_S0143.wav,0.07875,0.23615384
G3002_1_S0145.wav,0.111666664,0.2242857
